Player,From,To,Yrs,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
Mike Donnelly,1987,1988,2,22,3,3,6,-5,8,3,0,0,0,3,0,0,35,8.6,,,donnemi01
André Doré,1979,1985,6,139,8,38,46,23,153,8,0,0,1,35,2,1,102,7.8,,,dorean01
Jim Dorey,1972,1972,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,doreyji01
Derek Dorsett,2014,2014,1,51,4,4,8,-1,128,4,0,0,0,4,0,0,67,6,562,11:02,dorsede01
Bruce Driver,1996,1998,3,220,13,74,87,7,136,7,6,0,2,39,35,0,410,3.2,1550,,drivebr01
Jim Drummond,1945,1945,1,2,0,0,0,,0,0,0,0,0,0,0,0,,,,,drummji01
Chris Drury,2008,2011,4,264,62,89,151,-19,116,37,24,1,10,52,33,4,613,10.1,4920,18:38,drurych01
Christian Dubé,1997,1999,2,33,1,1,2,-4,4,0,1,0,0,0,1,0,14,7.1,16,2:39,dubech01
Brandon Dubinsky,2007,2012,6,393,81,132,213,24,457,61,14,6,15,103,24,5,861,9.4,6762,17:12,dubinbr01
Anthony Duclair,2015,2015,1,18,1,6,7,4,4,1,0,0,0,5,1,0,18,5.6,219,12:09,duclaan01
Dick Duff*,1964,1965,2,43,7,13,20,-18,22,4,3,0,0,10,2,1,87,8,,,duffdi01
Marc Dufour,1964,1965,2,12,1,0,1,-5,2,1,0,0,0,0,0,0,11,9.1,,,dufouma01
Ron Duguay,1978,1988,8,499,164,176,340,-26,370,125,29,10,11,133,41,2,1050,15.6,,,duguaro01
Duke Dukowski,1934,1934,1,29,0,6,6,,18,0,0,0,0,6,0,0,,,,,dukowdu01
Craig Duncanson,1993,1993,1,3,0,1,1,0,0,0,0,0,0,1,0,0,1,0,,,duncacr01
André Dupont,1971,1971,1,7,1,2,3,1,21,1,0,0,0,0,1,1,17,5.9,,,duponan01
Brodie Dupont,2011,2011,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,5:34,duponbr01
Pascal Dupuis,2007,2007,1,6,1,0,1,-4,0,1,0,0,0,0,0,0,10,10,93,15:30,dupuipa01
Benoît Dusablon,2004,2004,1,3,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,25,8:19,dusabbe01
Radek Dvořák,2000,2003,4,256,65,99,164,-14,60,47,12,6,4,65,28,6,664,9.8,4668,18:14,dvorara01
Gordie Dwyer,2003,2003,1,17,0,1,1,-1,50,0,0,0,0,0,1,0,8,0,110,6:28,dwyergo01
Henry Dyck,1944,1944,1,1,0,0,0,,0,0,0,0,0,0,0,0,,,,,dyckhe01
Dallas Eakins,1997,1997,1,3,0,0,0,-1,6,0,0,0,0,0,0,0,2,0,,,eakinda01
Mike Eastwood,1997,1998,2,75,6,12,18,0,26,6,0,0,0,11,0,1,56,10.7,476,,eastwmi01
Frank Eddolls,1948,1952,5,260,18,34,52,,88,15,3,0,1,29,5,0,,,,,eddolfr01
Pat Egan,1950,1951,2,140,10,21,31,,120,3,7,0,0,14,7,0,,,,,eganpa01
Jack Egers,1970,1974,4,111,13,14,27,10,72,7,6,0,3,11,3,0,128,10.2,,,egersja01
Steve Eminger,2011,2013,3,142,4,10,14,4,58,4,0,0,1,7,2,1,64,6.3,2045,14:24,emingst01
Anders Eriksson,2010,2010,1,8,0,2,2,2,0,0,0,0,0,2,0,0,2,0,116,14:30,eriksan01
Jan Erixon,1984,1993,10,556,57,159,216,34,167,48,1,8,5,148,2,9,600,9.5,,,erixoja01
Tim Erixon,2012,2012,1,18,0,2,2,-2,8,0,0,0,0,2,0,0,9,0,234,13:00,erixoti01
